payment_id,customer_id,order_id,amount,status,failure_reason,transaction_type,timestamp
pay_demo_0031,CUST002,ORD1031,899,FAILED,network_error,payment,2026-08-16T20:05:40.863887
pay_demo_0032,CUST002,ORD1032,18000,FAILED,network_error,payment,2026-08-20T12:05:40.863887
pay_demo_0033,CUST008,ORD1033,18000,FAILED,insufficient_funds,payment,2026-08-18T09:05:40.863887
pay_demo_0034,CUST007,ORD1034,2499,FAILED,abandoned_checkout,checkout,2026-08-17T04:05:40.863887
pay_demo_0035,CUST004,ORD1035,3999,FAILED,bank_declined,payment,2026-08-17T15:05:40.863887
pay_demo_0036,CUST006,ORD1036,12400,FAILED,abandoned_checkout,checkout,2026-08-18T19:05:40.863887
pay_demo_0037,CUST002,ORD1037,2499,FAILED,insufficient_funds,payment,2026-08-19T09:05:40.863887
pay_demo_0038,CUST001,ORD1038,25000,FAILED,expired_card,payment,2026-08-18T01:05:40.863887
pay_demo_0039,CUST004,ORD1039,499,FAILED,insufficient_funds,payment,2026-08-17T20:05:40.863887
pay_demo_0040,CUST001,ORD1040,2499,FAILED,insufficient_funds,payment,2026-08-21T00:05:40.863887
pay_demo_0041,CUST006,ORD1041,899,FAILED,expired_card,payment,2026-08-19T17:05:40.863887
pay_demo_0042,CUST008,ORD1042,2499,FAILED,expired_card,payment,2026-08-17T08:05:40.863887
pay_demo_0043,CUST008,ORD1043,2499,FAILED,abandoned_checkout,checkout,2026-08-16T21:05:40.863887
pay_demo_0044,CUST007,ORD1044,2499,FAILED,insufficient_funds,payment,2026-08-17T16:05:40.863887
pay_demo_0045,CUST007,ORD1045,4999,FAILED,bank_declined,payment,2026-08-18T17:05:40.863887
pay_demo_0046,CUST001,ORD1046,899,FAILED,insufficient_funds,payment,2026-08-17T07:05:40.863887
pay_demo_0047,CUST006,ORD1047,899,FAILED,insufficient_funds,payment,2026-08-20T04:05:40.863887
pay_demo_0048,CUST008,ORD1048,1499,FAILED,bank_declined,payment,2026-08-19T17:05:40.863887
pay_demo_0049,CUST008,ORD1049,2499,FAILED,abandoned_checkout,checkout,2026-08-20T19:05:40.863887
pay_demo_0050,CUST008,ORD1050,18000,FAILED,insufficient_funds,payment,2026-08-17T17:05:40.863887
pay_demo_0051,CUST001,ORD1051,899,FAILED,abandoned_checkout,checkout,2026-08-16T16:05:40.863887
pay_demo_0052,CUST004,ORD1052,1499,FAILED,bank_declined,payment,2026-08-18T15:05:40.863887
pay_demo_0053,CUST004,ORD1053,8499,FAILED,abandoned_checkout,checkout,2026-08-20T07:05:40.863887
pay_demo_0054,CUST007,ORD1054,499,FAILED,suspicious_transaction,payment,2026-08-19T19:05:40.863887
pay_demo_0055,CUST008,ORD1055,3999,FAILED,bank_declined,payment,2026-08-17T07:05:40.863887
pay_demo_0056,CUST008,ORD1056,1499,FAILED,insufficient_funds,payment,2026-08-20T01:05:40.863887
pay_demo_0057,CUST001,ORD1057,25000,FAILED,network_error,payment,2026-08-20T21:05:40.863887
pay_demo_0058,CUST006,ORD1058,499,FAILED,insufficient_funds,payment,2026-08-18T15:05:40.863887
pay_demo_0059,CUST003,ORD1059,499,FAILED,suspicious_transaction,payment,2026-08-20T18:05:40.863887
pay_demo_0060,CUST003,ORD1060,899,FAILED,expired_card,payment,2026-08-17T14:05:40.863887
pay_demo_0061,CUST004,ORD1061,8499,FAILED,insufficient_funds,payment,2026-08-16T11:05:40.863887
pay_demo_0062,CUST004,ORD1062,25000,FAILED,expired_card,payment,2026-08-17T21:05:40.863887
pay_demo_0063,CUST002,ORD1063,8499,FAILED,network_error,payment,2026-08-18T04:05:40.863887
pay_demo_0064,CUST006,ORD1064,3999,FAILED,insufficient_funds,payment,2026-08-17T09:05:40.863887
pay_demo_0065,CUST006,ORD1065,2499,FAILED,insufficient_funds,payment,2026-08-20T12:05:40.863887
pay_demo_0066,CUST005,ORD1066,12400,FAILED,bank_declined,payment,2026-08-17T04:05:40.863887
pay_demo_0067,CUST002,ORD1067,499,FAILED,bank_declined,payment,2026-08-18T04:05:40.863887
pay_demo_0068,CUST002,ORD1068,899,FAILED,expired_card,payment,2026-08-18T12:05:40.863887
pay_demo_0069,CUST005,ORD1069,1499,FAILED,abandoned_checkout,checkout,2026-08-16T12:05:40.863887
pay_demo_0070,CUST002,ORD1070,2499,FAILED,bank_declined,payment,2026-08-20T08:05:40.863887
pay_demo_0071,CUST008,ORD1071,18000,FAILED,network_error,payment,2026-08-17T22:05:40.863887
pay_demo_0072,CUST001,ORD1072,18000,FAILED,bank_declined,payment,2026-08-17T16:05:40.863887
pay_demo_0073,CUST002,ORD1073,1499,FAILED,insufficient_funds,payment,2026-08-16T11:05:40.863887
pay_demo_0074,CUST002,ORD1074,18000,FAILED,insufficient_funds,payment,2026-08-19T16:05:40.863887
pay_demo_0075,CUST004,ORD1075,4999,FAILED,insufficient_funds,payment,2026-08-17T19:05:40.863887
pay_demo_0076,CUST005,ORD1076,18000,FAILED,expired_card,payment,2026-08-16T09:05:40.863887
pay_demo_0077,CUST001,ORD1077,899,FAILED,expired_card,payment,2026-08-16T18:05:40.863887
pay_demo_0078,CUST005,ORD1078,499,FAILED,insufficient_funds,payment,2026-08-17T02:05:40.863887
pay_demo_0079,CUST003,ORD1079,3999,FAILED,insufficient_funds,payment,2026-08-18T20:05:40.863887
pay_demo_0080,CUST007,ORD1080,18000,FAILED,insufficient_funds,payment,2026-08-20T19:05:40.863887
pay_demo_0081,CUST003,ORD1081,18000,FAILED,insufficient_funds,payment,2026-08-19T05:05:40.863887
pay_demo_0082,CUST003,ORD1082,8499,FAILED,insufficient_funds,payment,2026-08-19T13:05:40.863887
pay_demo_0083,CUST006,ORD1083,499,FAILED,abandoned_checkout,checkout,2026-08-20T02:05:40.863887
pay_demo_0084,CUST004,ORD1084,899,FAILED,bank_declined,payment,2026-08-18T05:05:40.863887
pay_demo_0085,CUST007,ORD1085,25000,FAILED,network_error,payment,2026-08-16T06:05:40.863887
pay_demo_0086,CUST004,ORD1086,1499,FAILED,suspicious_transaction,payment,2026-08-16T21:05:40.863887
pay_demo_0087,CUST003,ORD1087,8499,FAILED,insufficient_funds,payment,2026-08-17T06:05:40.863887
pay_demo_0088,CUST006,ORD1088,8499,FAILED,abandoned_checkout,checkout,2026-08-16T14:05:40.863887
pay_demo_0089,CUST004,ORD1089,3999,FAILED,insufficient_funds,payment,2026-08-17T11:05:40.863887
pay_demo_0090,CUST002,ORD1090,8499,FAILED,abandoned_checkout,checkout,2026-08-16T15:05:40.863887
pay_demo_0091,CUST008,ORD1091,2499,FAILED,insufficient_funds,payment,2026-08-16T07:05:40.863887
pay_demo_0092,CUST008,ORD1092,4999,FAILED,bank_declined,payment,2026-08-16T23:05:40.863887
pay_demo_0093,CUST004,ORD1093,2499,FAILED,insufficient_funds,payment,2026-08-20T04:05:40.863887
pay_demo_0094,CUST007,ORD1094,4999,FAILED,bank_declined,payment,2026-08-20T20:05:40.863887
pay_demo_0095,CUST005,ORD1095,4999,FAILED,expired_card,payment,2026-08-19T01:05:40.863887
pay_demo_0096,CUST006,ORD1096,499,FAILED,insufficient_funds,payment,2026-08-19T19:05:40.863887
pay_demo_0097,CUST003,ORD1097,25000,FAILED,suspicious_transaction,payment,2026-08-19T19:05:40.863887
pay_demo_0098,CUST001,ORD1098,899,FAILED,expired_card,payment,2026-08-19T08:05:40.863887
pay_demo_0099,CUST006,ORD1099,8499,FAILED,expired_card,payment,2026-08-18T11:05:40.863887
pay_demo_0100,CUST002,ORD1100,8499,FAILED,abandoned_checkout,checkout,2026-08-20T04:05:40.863887
